time,x,y
3.6500,3.1447,0.8991
3.6600,3.1612,0.9066
3.6700,3.1778,0.9141
3.6800,3.1944,0.9217
3.6900,3.2110,0.9293
3.7000,3.2277,0.9369
3.7100,3.2445,0.9446
3.7200,3.2612,0.9523
3.7300,3.2780,0.9601
3.7400,3.2948,0.9679
3.7500,3.3117,0.9758
3.7600,3.3286,0.9837
3.7700,3.3455,0.9916
3.7800,3.3625,0.9996
3.7900,3.3795,1.0076
3.8000,3.3965,1.0157
3.8100,3.4136,1.0238
3.8200,3.4307,1.0319
3.8300,3.4478,1.0401
3.8400,3.4650,1.0483
3.8500,3.4822,1.0565
3.8600,3.4995,1.0648
3.8700,3.5168,1.0731
3.8800,3.5341,1.0815
3.8900,3.5514,1.0899
3.9000,3.5688,1.0984
3.9100,3.5862,1.1068
3.9200,3.6037,1.1153
3.9300,3.6212,1.1239
3.9400,3.6387,1.1325
3.9500,3.6562,1.1411
3.9600,3.6738,1.1497
3.9700,3.6915,1.1584
3.9800,3.7091,1.1671
3.9900,3.7268,1.1758
4.0000,3.7446,1.1846
4.0100,3.7624,1.1934
4.0200,3.7802,1.2022
4.0300,3.7981,1.2111
4.0400,3.8160,1.2200
4.0500,3.8339,1.2289
4.0600,3.8519,1.2379
4.0700,3.8699,1.2469
4.0800,3.8880,1.2560
4.0900,3.9061,1.2650
4.1000,3.9242,1.2741
4.1100,3.9424,1.2833
4.1200,3.9606,1.2925
4.1300,3.9789,1.3017
4.1400,3.9971,1.3109
4.1500,4.0155,1.3202
4.1600,4.0339,1.3295
4.1700,4.0523,1.3389
4.1800,4.0707,1.3482
4.1900,4.0892,1.3576
4.2000,4.1077,1.3671
4.2100,4.1263,1.3766
4.2200,4.1449,1.3861
4.2300,4.1635,1.3956
4.2400,4.1822,1.4052
4.2500,4.2009,1.4148
4.2600,4.2196,1.4245
4.2700,4.2384,1.4341
4.2800,4.2573,1.4438
4.2900,4.2761,1.4536
4.3000,4.2950,1.4633
4.3100,4.3140,1.4731
4.3200,4.3329,1.4829
4.3300,4.3520,1.4928
4.3400,4.3710,1.5027
4.3500,4.3901,1.5126
4.3600,4.4093,1.5225
4.3700,4.4284,1.5325
4.3800,4.4477,1.5425
4.3900,4.4669,1.5525
4.4000,4.4862,1.5625
4.4100,4.5056,1.5726
4.4200,4.5250,1.5827
4.4300,4.5444,1.5929
4.4400,4.5639,1.6030
4.4500,4.5834,1.6132
4.4600,4.6029,1.6235
4.4700,4.6225,1.6337
4.4800,4.6422,1.6440
4.4900,4.6618,1.6543
4.5000,4.6816,1.6647
4.5100,4.7013,1.6750
4.5200,4.7211,1.6854
4.5300,4.7409,1.6959
4.5400,4.7608,1.7063
4.5500,4.7807,1.7168
4.5600,4.8007,1.7273
4.5700,4.8207,1.7379
4.5800,4.8408,1.7485
4.5900,4.8608,1.7591
4.6000,4.8810,1.7697
4.6100,4.9011,1.7804
4.6200,4.9213,1.7911
4.6300,4.9416,1.8018
4.6400,4.9619,1.8126
4.6500,4.9822,1.8234
4.6600,5.0026,1.8342
4.6700,5.0230,1.8451
4.6800,5.0434,1.8559
4.6900,5.0639,1.8668
4.7000,5.0845,1.8778
4.7100,5.1050,1.8888
4.7200,5.1256,1.8998
4.7300,5.1463,1.9108
4.7400,5.1670,1.9218
4.7500,5.1877,1.9329
4.7600,5.2085,1.9441
4.7700,5.2293,1.9552
4.7800,5.2502,1.9664
4.7900,5.2711,1.9776
4.8000,5.2920,1.9888
4.8100,5.3130,2.0001
4.8200,5.3340,2.0114
4.8300,5.3551,2.0228
4.8400,5.3762,2.0341
4.8500,5.3973,2.0455
4.8600,5.4185,2.0569
4.8700,5.4397,2.0684
4.8800,5.4610,2.0799
4.8900,5.4823,2.0914
4.9000,5.5036,2.1029
4.9100,5.5250,2.1145
4.9200,5.5464,2.1261
4.9300,5.5679,2.1378
4.9400,5.5894,2.1494
4.9500,5.6109,2.1611
4.9600,5.6325,2.1729
4.9700,5.6541,2.1846
4.9800,5.6758,2.1964
4.9900,5.6975,2.2082
5.0000,5.7193,2.2201
5.0100,5.7410,2.2320
5.0200,5.7629,2.2439
5.0300,5.7847,2.2558
5.0400,5.8066,2.2678
5.0500,5.8286,2.2798
5.0600,5.8506,2.2919
5.0700,5.8726,2.3039
5.0800,5.8946,2.3160
5.0900,5.9168,2.3282
5.1000,5.9389,2.3403
5.1100,5.9611,2.3525
5.1200,5.9833,2.3648
5.1300,6.0056,2.3770
5.1400,6.0279,2.3893
5.1500,6.0502,2.4016
5.1600,6.0726,2.4140
5.1700,6.0950,2.4263
5.1800,6.1175,2.4388
5.1900,6.1400,2.4512
5.2000,6.1625,2.4637
5.2100,6.1851,2.4762
5.2200,6.2077,2.4887
5.2300,6.2304,2.5013
5.2400,6.2531,2.5139
5.2500,6.2759,2.5265
5.2600,6.2986,2.5392
5.2700,6.3215,2.5519
5.2800,6.3443,2.5646
5.2900,6.3672,2.5773
5.3000,6.3902,2.5901
5.3100,6.4132,2.6029
5.3200,6.4362,2.6158
5.3300,6.4592,2.6287
5.3400,6.4823,2.6416
5.3500,6.5055,2.6545
5.3600,6.5287,2.6675
5.3700,6.5519,2.6805
5.3800,6.5751,2.6936
5.3900,6.5984,2.7066
5.4000,6.6218,2.7197
5.4100,6.6451,2.7329
5.4200,6.6686,2.7460
5.4300,6.6920,2.7592
5.4400,6.7155,2.7725
5.4500,6.7390,2.7857
5.4600,6.7626,2.7990
5.4700,6.7862,2.8123
5.4800,6.8099,2.8257
5.4900,6.8336,2.8391
5.5000,6.8573,2.8525
5.5100,6.8811,2.8660
5.5200,6.9049,2.8794
