x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
5.258373048383697324e+01,5.163552194702571541e+01,5.246057438774567316e+01,5.172115240886932952e+01,5.270688657992827331e+01,5.154989148518210129e+01,0
5.270763567705217412e+01,5.181372581926093090e+01,5.258447958096087405e+01,5.189935628110454502e+01,5.283079177314347419e+01,5.172809535741731679e+01,0
5.270763567705217412e+01,5.181372581926093090e+01,5.258434632877120407e+01,5.189916431527095142e+01,5.283092502533314416e+01,5.172828732325091039e+01,0
5.320187060549542934e+01,5.252691606804897617e+01,5.307858125721445930e+01,5.261235456405899669e+01,5.332515995377639939e+01,5.244147757203895566e+01,0
5.320187060549542934e+01,5.252691606804897617e+01,5.307878351696029284e+01,5.261264569324320917e+01,5.332495769403056585e+01,5.244118644285474318e+01,0
5.332565427441094386e+01,5.270463959571502244e+01,5.320256718587580735e+01,5.279036922090925543e+01,5.344874136294608036e+01,5.261890997052078944e+01,0
5.332565427441094386e+01,5.270463959571502244e+01,5.320322513612071447e+01,5.279130623345707107e+01,5.344808341270117324e+01,5.261797295797297380e+01,1
5.377978563221701336e+01,5.334616570374580391e+01,5.365821965251377890e+01,5.343403897942614833e+01,5.390135161192024782e+01,5.325829242806545949e+01,1
5.424650767965160725e+01,5.397857009966437403e+01,5.412720436635194687e+01,5.406949160116827358e+01,5.436581099295126762e+01,5.388764859816047448e+01,1
5.473249301672755962e+01,5.459626766749622817e+01,5.461788177677849632e+01,5.469303679313730271e+01,5.484710425667662292e+01,5.449949854185515363e+01,1
5.525898670104945154e+01,5.517772815029332634e+01,5.517316540843652461e+01,5.530075134214854415e+01,5.534480799366237846e+01,5.505470495843810852e+01,1
5.597918714898760584e+01,5.546596467592229374e+01,5.595614585789541451e+01,5.561418444148952744e+01,5.600222844007979717e+01,5.531774491035506003e+01,1
5.675288783835671325e+01,5.540996040916868282e+01,5.680338668762185961e+01,5.555120440452033392e+01,5.670238898909156688e+01,5.526871641381703171e+01,1
5.738353040035237029e+01,5.496387099051901970e+01,5.749911682916820865e+01,5.505947317393341933e+01,5.726794397153653193e+01,5.486826880710462007e+01,1
5.770772514979584855e+01,5.425552825095144982e+01,5.785483744689241803e+01,5.428481941076069717e+01,5.756061285269927907e+01,5.422623709114220247e+01,1
5.767884073008374912e+01,5.348070059897263917e+01,5.782505267564663143e+01,5.344720333080466901e+01,5.753262878452086682e+01,5.351419786714060933e+01,1
5.736556670850509221e+01,5.276204373331798791e+01,5.749923607610673315e+01,5.269398126080209011e+01,5.723189734090345127e+01,5.283010620583388572e+01,1
5.696780035751292814e+01,5.208427297259482458e+01,5.709716735920311947e+01,5.200835078299461145e+01,5.683843335582273681e+01,5.216019516219503771e+01,1
5.696780035751292814e+01,5.208427297259482458e+01,5.709469324098921561e+01,5.200428424762015567e+01,5.684090747403664068e+01,5.216426169756949349e+01,0
5.684759916490116893e+01,5.189358764872417851e+01,5.697449204837745640e+01,5.181359892374950959e+01,5.672070628142488147e+01,5.197357637369884742e+01,0
5.684759916490116893e+01,5.189358764872417851e+01,5.697395975283281899e+01,5.181276066178560313e+01,5.672123857696951887e+01,5.197441463566275388e+01,0
5.672596185341008379e+01,5.170342638233774579e+01,5.685232244134173385e+01,5.162259939539917042e+01,5.659960126547843373e+01,5.178425336927632117e+01,0
5.672596185341008379e+01,5.170342638233774579e+01,5.685209564402752136e+01,5.162224592370098009e+01,5.659982806279264622e+01,5.178460684097451150e+01,0
5.660368719071141186e+01,5.151344264780798454e+01,5.672982098132884943e+01,5.143226218917121884e+01,5.647755340009397429e+01,5.159462310644475025e+01,0
5.660368719071141186e+01,5.151344264780798454e+01,5.672990253187546728e+01,5.143238903804974171e+01,5.647747184954735644e+01,5.159449625756622737e+01,0
5.648157394447684254e+01,5.132328991950733865e+01,5.660778928564089796e+01,5.124223630974909582e+01,5.635535860331278712e+01,5.140434352926558148e+01,0
5.648157394447684254e+01,5.132328991950733865e+01,5.661050705573860853e+01,5.124663319886028034e+01,5.635264083321507655e+01,5.139994664015439696e+01,1
5.568927275558462497e+01,4.999067542102638129e+01,5.581820586684639096e+01,4.991401870037932298e+01,5.556033964432285899e+01,5.006733214167343959e+01,1
5.568927275558462497e+01,4.999067542102638129e+01,5.581966344618886211e+01,4.991652511553981242e+01,5.555888206498038784e+01,5.006482572651295015e+01,0
5.558237082927828254e+01,4.980269216314847114e+01,5.571276151988251968e+01,4.972854185766190227e+01,5.545198013867404541e+01,4.987684246863504001e+01,0
5.558237082927828254e+01,4.980269216314847114e+01,5.571304982772549863e+01,4.972905114628400014e+01,5.545169183083106645e+01,4.987633318001294214e+01,0
5.505146889418526257e+01,4.886058495027106119e+01,5.518214789263247866e+01,4.878694393340659019e+01,5.492078989573804648e+01,4.893422596713553219e+01,0
5.505146889418526257e+01,4.886058495027106119e+01,5.518253551367605780e+01,4.878763605545245952e+01,5.492040227469446734e+01,4.893353384508966286e+01,0
5.494628659913541924e+01,4.867160487213900666e+01,5.507735321862621447e+01,4.859865597732040499e+01,5.481521997964462400e+01,4.874455376695760833e+01,0
5.494628659913541924e+01,4.867160487213900666e+01,5.507822636961971341e+01,4.860024734300190374e+01,5.481434682865112507e+01,4.874296240127610957e+01,1
5.412344260670601415e+01,4.715016979978776135e+01,5.425538237719030832e+01,4.707881227065065843e+01,5.399150283622171997e+01,4.722152732892486426e+01,1
5.412344260670601415e+01,4.715016979978776135e+01,5.425644408594929757e+01,4.708081126376587378e+01,5.399044112746273072e+01,4.721952833580964892e+01,0
5.402350651653635794e+01,4.695853300084840498e+01,5.415650799577964136e+01,4.688917446482651741e+01,5.389050503729307451e+01,4.702789153687029255e+01,0
5.402350651653635794e+01,4.695853300084840498e+01,5.415670070502024203e+01,4.688954526169049331e+01,5.389031232805247384e+01,4.702752074000631666e+01,0
5.351544130997466198e+01,4.597761474333043452e+01,5.364863549845854607e+01,4.590862700417252285e+01,5.338224712149077789e+01,4.604660248248834620e+01,0
5.351544130997466198e+01,4.597761474333043452e+01,5.364874919733573222e+01,4.590884696623005112e+01,5.338213342261359173e+01,4.604638252043081792e+01,0
5.341340299131070424e+01,4.577981116054031929e+01,5.354671087867177448e+01,4.571104338343993589e+01,5.328009510394963399e+01,4.584857893764070269e+01,0
5.341340299131070424e+01,4.577981116054031929e+01,5.354740063739936318e+01,4.571239728331390495e+01,5.327940534522204530e+01,4.584722503776673364e+01,1
5.310671088664105355e+01,4.517020343894780865e+01,5.324159436329956208e+01,4.510457990868226119e+01,5.297182740998254502e+01,4.523582696921335611e+01,1
5.281637222348578575e+01,4.455266618204763063e+01,5.295341910970227417e+01,4.449168953915573610e+01,5.267932533726929734e+01,4.461364282493952516e+01,1
5.255205500517007522e+01,4.392359723250206116e+01,5.269188904801660556e+01,4.386931610814751537e+01,5.241222096232354488e+01,4.397787835685660696e+01,1
5.232272384598538650e+01,4.328097460986064249e+01,5.246519578349334267e+01,4.323405183263327700e+01,5.218025190847743033e+01,4.332789738708800797e+01,1
5.212529175771626910e+01,4.262781317378534851e+01,5.226982176186223938e+01,4.258767493887690136e+01,5.198076175357029882e+01,4.266795140869379566e+01,1
5.195764034237742379e+01,4.196637967536900504e+01,5.210383365041820269e+01,4.193280116015326087e+01,5.181144703433664489e+01,4.199995819058474922e+01,1
5.181987162288605475e+01,4.129808255388731197e+01,5.196743320930661980e+01,4.127114599484487201e+01,5.167231003646548970e+01,4.132501911292975194e+01,1
5.171263522417832803e+01,4.062421329600132935e+01,5.186142140919852750e+01,4.060516936922311260e+01,5.156384903915812856e+01,4.064325722277954611e+01,1
5.164671861849469536e+01,3.994527463521558275e+01,5.179655680341669921e+01,3.993830912451795001e+01,5.149688043357269152e+01,3.995224014591321549e+01,1
5.164936348364592078e+01,3.926314686889075745e+01,5.179923517057872573e+01,3.926934988879362010e+01,5.149949179671311583e+01,3.925694384898789480e+01,1
5.170310271960418902e+01,3.858297361380915191e+01,5.185232049068252991e+01,3.859827252862069713e+01,5.155388494852584813e+01,3.856767469899760670e+01,1
5.178851065708901302e+01,3.790597668206403625e+01,5.193670662016120332e+01,3.792917057197292507e+01,5.164031469401682273e+01,3.788278279215514743e+01,1
5.191400928734884701e+01,3.723539879785758444e+01,5.206031390795602931e+01,3.726848894728288286e+01,5.176770466674166471e+01,3.720230864843228602e+01,1
5.208930791483739142e+01,3.657603319619643401e+01,5.223286962350982066e+01,3.661950773820727534e+01,5.194574620616496219e+01,3.653255865418559267e+01,1
