x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
1.641610266137467278e+01,4.469213562686380037e+00,1.640538680816189654e+01,4.618830308039038712e+00,1.642681851458744902e+01,4.319596817333721361e+00,1
1.641610266137467278e+01,4.469213562686380037e+00,1.640872025890712038e+01,4.319395339049176386e+00,1.642348506384222517e+01,4.619031786323583688e+00,0
1.641313590421700752e+01,4.469359751813641424e+00,1.640575350174945513e+01,4.319541528176437772e+00,1.642051830668455992e+01,4.619177975450845075e+00,0
1.641313590421700752e+01,4.469359751813641424e+00,1.640575350174946223e+01,4.319541528176437772e+00,1.642051830668455281e+01,4.619177975450845075e+00,0
1.570181224688587385e+01,4.504410744914591369e+00,1.569442984441832856e+01,4.354592521277387718e+00,1.570919464935341914e+01,4.654228968551795020e+00,0
1.499048858955473307e+01,4.539461738015542203e+00,1.498310618708718778e+01,4.389643514378338551e+00,1.499787099202227836e+01,4.689279961652745854e+00,0
1.427916493222358518e+01,4.574512731116493924e+00,1.427178252975603989e+01,4.424694507479290273e+00,1.428654733469113047e+01,4.724330954753697576e+00,0
1.356784127489243730e+01,4.609563724217444758e+00,1.356045887242489201e+01,4.459745500580241107e+00,1.357522367735998259e+01,4.759381947854648409e+00,0
1.285651761756128941e+01,4.644614717318395591e+00,1.284913521509374412e+01,4.494796493681191940e+00,1.286390002002883470e+01,4.794432940955599243e+00,0
1.214519396023018238e+01,4.679665710419343760e+00,1.213781155776263709e+01,4.529847486782140109e+00,1.215257636269772767e+01,4.829483934056547412e+00,0
1.143387030289913397e+01,4.714716703520290153e+00,1.142648790043158868e+01,4.564898479883086502e+00,1.144125270536667927e+01,4.864534927157493804e+00,0
1.072254664556808734e+01,4.749767696621235658e+00,1.071516424310054205e+01,4.599949472984032006e+00,1.072992904803563263e+01,4.899585920258439309e+00,0
1.001122298823704071e+01,4.784818689722182938e+00,1.000384058576949542e+01,4.635000466084979287e+00,1.001860539070458600e+01,4.934636913359386590e+00,0
9.299899330905997630e+00,4.819869682823128443e+00,9.292516928438452339e+00,4.670051459185924791e+00,9.307281733373542920e+00,4.969687906460332094e+00,0
8.588575673574949221e+00,4.854920675924074835e+00,8.581193271107403930e+00,4.705102452286871184e+00,8.595958076042494511e+00,5.004738899561278487e+00,0
7.877252016243900812e+00,4.889971669025020340e+00,7.869869613776356410e+00,4.740153445387816689e+00,7.884634418711445214e+00,5.039789892662223991e+00,0
7.165928358912818652e+00,4.925022662125968509e+00,7.158545956445274250e+00,4.775204438488764858e+00,7.173310761380363054e+00,5.074840885763172160e+00,0
6.454604701581735604e+00,4.960073655226915790e+00,6.447222299114191202e+00,4.810255431589712138e+00,6.461987104049280006e+00,5.109891878864119441e+00,0
5.743281044250655221e+00,4.995124648327863071e+00,5.735898641783110818e+00,4.845306424690659419e+00,5.750663446718199623e+00,5.144942871965066722e+00,0
5.031957386919573061e+00,5.030175641428811240e+00,5.024574984452028659e+00,4.880357417791607588e+00,5.039339789387117463e+00,5.179993865066014891e+00,0
4.320633729588490013e+00,5.065226634529759409e+00,4.313251327120945611e+00,4.915408410892555757e+00,4.328016132056034415e+00,5.215044858166963060e+00,0
4.320633729588490013e+00,5.065226634529759409e+00,4.313251327120974032e+00,4.915408410892553981e+00,4.328016132056005993e+00,5.215044858166964836e+00,0
4.317666972430828309e+00,5.065372823657019907e+00,4.310284569963312329e+00,4.915554600019814480e+00,4.325049374898344290e+00,5.215191047294225335e+00,0
4.317666972430828309e+00,5.065372823657019907e+00,4.467314165424644656e+00,5.075654731508755013e+00,4.168019779437011962e+00,5.055090915805284801e+00,1
4.354896481328638380e+00,4.523518959234834824e+00,4.458192264551752437e+00,4.632284676114388766e+00,4.251600698105524323e+00,4.414753242355280882e+00,1
5.105370315702565165e+00,4.317283847414405074e+00,5.134978912619043712e+00,4.464332584194553810e+00,5.075761718786086618e+00,4.170235110634256337e+00,1
5.878957070683952679e+00,4.216645900311664086e+00,5.894104441676404349e+00,4.365879131034640537e+00,5.863809699691501010e+00,4.067412669588687635e+00,1
6.657125478419024134e+00,4.159778638787307692e+00,6.665568185625129871e+00,4.309540852629892171e+00,6.648682771212918396e+00,4.010016424944723212e+00,1
7.436786530349349000e+00,4.128824695833305469e+00,7.441026290009555844e+00,4.278764765321163566e+00,7.432546770689142157e+00,3.978884626345447373e+00,1
8.216962007156400460e+00,4.115672136678522719e+00,8.218227416253913731e+00,4.265666799049608215e+00,8.215696598058887190e+00,3.965677474307437222e+00,1
8.997253508309979608e+00,4.115660033310880372e+00,8.997255835011145564e+00,4.265660033292835607e+00,8.997251181608813653e+00,3.965660033328925582e+00,1
8.997253508309979608e+00,4.115660033310880372e+00,8.995974418943843531e+00,4.265654579646383837e+00,8.998532597676115685e+00,3.965665486975376908e+00,0
9.101709774702412048e+00,4.116550791693988742e+00,9.100430685336275971e+00,4.266545338029492207e+00,9.102988864068548125e+00,3.966556245358485278e+00,0
9.101709774702412048e+00,4.116550791693988742e+00,9.099500019728068878e+00,4.266534514087298113e+00,9.103919529676755218e+00,3.966567069300679371e+00,0
9.862307116044348732e+00,4.127756899474776198e+00,9.859325147963874159e+00,4.277727256100233966e+00,9.865289084124823304e+00,3.977786542849318430e+00,0
1.062275007195351684e+01,4.146794726012599241e+00,1.061834660723470947e+01,4.296730077075883614e+00,1.062715353667232421e+01,3.996859374949315313e+00,0
1.138300049390517898e+01,4.172418279129710861e+00,1.137738794318445912e+01,4.322313239933626150e+00,1.138861304462589885e+01,4.022523318325795572e+00,0
1.214303886679002886e+01,4.203719241189082467e+00,1.213638031837444586e+01,4.353571380756715570e+00,1.214969741520561186e+01,4.053867101621449365e+00,0
1.290285836145922005e+01,4.239951830703371449e+00,1.289528896361119870e+01,4.389760723016939536e+00,1.291042775930724140e+01,4.090142938389803362e+00,0
