x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
2.356188586268892323e+03,2.524068452725307452e+03,2.356091985473586647e+03,2.523953699571336074e+03,2.356285187064197999e+03,2.524183205879278830e+03,1
2.355676409101808986e+03,2.524498681545657746e+03,2.355579930288845389e+03,2.524383825815939417e+03,2.355772887914772582e+03,2.524613537275376075e+03,1
2.355164231934725649e+03,2.524928910366007585e+03,2.355067746815147984e+03,2.524814059934140460e+03,2.355260717054303313e+03,2.525043760797874711e+03,1
2.354652102161530820e+03,2.525359195311346411e+03,2.354555319397369658e+03,2.525244595588129869e+03,2.354748884925691982e+03,2.525473795034562954e+03,1
2.354142164262886126e+03,2.525792075927529368e+03,2.354045090784707099e+03,2.525677722353758327e+03,2.354239237741065153e+03,2.525906429501300408e+03,1
2.353632226364240978e+03,2.526224956543712324e+03,2.353535152886061951e+03,2.526110602969941283e+03,2.353729299842420005e+03,2.526339310117483365e+03,1
2.353122288465596284e+03,2.526657837159895280e+03,2.353024921974960307e+03,2.526543732968468248e+03,2.353219654956232262e+03,2.526771941351322312e+03,1
2.352614578078037539e+03,2.527093328170468794e+03,2.352516918461273235e+03,2.526979474759217737e+03,2.352712237694801843e+03,2.527207181581719851e+03,1
2.352106873443849054e+03,2.527528825923350723e+03,2.352009213072765306e+03,2.527414973159133751e+03,2.352204533814932802e+03,2.527642678687567695e+03,1
2.351599168809660569e+03,2.527964323676232198e+03,2.351501368834766254e+03,2.527850590809783171e+03,2.351696968784554883e+03,2.528078056542681225e+03,1
2.351092534324136068e+03,2.528401065791557812e+03,2.350994589142870609e+03,2.528287457950864791e+03,2.351190479505401527e+03,2.528514673632250833e+03,1
2.350585943984745882e+03,2.528837859239743466e+03,2.350487993053990067e+03,2.528724256356135356e+03,2.350683894915501696e+03,2.528951462123351575e+03,1
2.350079353645355695e+03,2.529274652687928665e+03,2.349981252820601640e+03,2.529161179218859616e+03,2.350177454470109751e+03,2.529388126156997714e+03,1
2.349573918547077938e+03,2.529712782082251124e+03,2.349475654395381298e+03,2.529599450019306460e+03,2.349672182698774577e+03,2.529826114145195788e+03,1
2.349068588479965456e+03,2.530151032936914817e+03,2.348970310725806939e+03,2.530037712669364737e+03,2.349166866234123972e+03,2.530264353204464896e+03,1
2.348563258412853429e+03,2.530589283791578509e+03,2.348464859102027731e+03,2.530476069059193378e+03,2.348661657723679127e+03,2.530702498523963641e+03,1
2.348058870357328487e+03,2.531028618082437333e+03,2.347960328483035482e+03,2.530915527415223551e+03,2.348157412231621493e+03,2.531141708749651116e+03,1
2.347554646215948196e+03,2.531468140895941360e+03,2.347456083225019938e+03,2.531355068632236907e+03,2.347653209206876454e+03,2.531581213159645813e+03,1
2.347050422074567905e+03,2.531907663709445387e+03,2.346951748469668928e+03,2.531794687961179079e+03,2.347149095679466882e+03,2.532020639457711695e+03,1
2.346547059471915873e+03,2.532348172387723935e+03,2.346448244226739916e+03,2.532235320505503296e+03,2.346645874717091829e+03,2.532461024269944573e+03,1
2.346043939599853729e+03,2.532788958824308793e+03,2.345945093241449740e+03,2.532676134192998688e+03,2.346142785958257718e+03,2.532901783455618897e+03,1
2.345540819727791586e+03,2.533229745260894106e+03,2.345441862785710327e+03,2.533117017608501556e+03,2.345639776669872845e+03,2.533342472913286656e+03,1
