x_central,y_central,x_border1,y_border1,x_border2,y_border2,segment_type
1.724132446668770768e+01,1.693520936377388963e+01,1.735689282063178140e+01,1.683958533140410907e+01,1.712575611274363396e+01,1.703083339614367020e+01,0
1.724132446668770768e+01,1.693520936377388963e+01,1.711917675703538677e+01,1.702227219755899057e+01,1.736347217634002860e+01,1.684814652998878870e+01,1
1.743517993045376357e+01,1.720718535942158667e+01,1.731303222080144266e+01,1.729424819320668760e+01,1.755732764010608449e+01,1.712012252563648573e+01,1
1.743517993045376357e+01,1.720718535942158667e+01,1.756025484362801237e+01,1.712438278642742162e+01,1.731010501727951478e+01,1.728998793241575171e+01,0
1.743424146581921619e+01,1.720576779015485158e+01,1.755931637899346498e+01,1.712296521716068654e+01,1.730916655264496740e+01,1.728857036314901663e+01,0
1.743424146581921619e+01,1.720576779015485158e+01,1.755931637899345077e+01,1.712296521716066522e+01,1.730916655264498161e+01,1.728857036314903795e+01,0
1.731787185113505600e+01,1.702998920107933145e+01,1.744294676430929059e+01,1.694718662808514509e+01,1.719279693796082142e+01,1.711279177407351781e+01,0
1.731787185113505600e+01,1.702998920107933145e+01,1.744294676430915914e+01,1.694718662808494969e+01,1.719279693796095287e+01,1.711279177407371321e+01,0
1.731693338650050507e+01,1.702857163181259637e+01,1.744200829967460820e+01,1.694576905881821460e+01,1.719185847332640193e+01,1.711137420480697813e+01,0
1.731693338650050507e+01,1.702857163181259637e+01,1.719350877622256490e+01,1.711381461145161609e+01,1.744035799677844523e+01,1.694332865217357664e+01,1
1.743869094311213175e+01,1.720486625498066857e+01,1.731526633283419159e+01,1.729010923461968829e+01,1.756211555339007191e+01,1.711962327534164885e+01,1
1.743869094311213175e+01,1.720486625498066857e+01,1.755829207995202879e+01,1.711433687816516169e+01,1.731908980627223471e+01,1.729539563179617545e+01,0
1.743767145278895114e+01,1.720351937504026907e+01,1.755727258962884818e+01,1.711298999822476219e+01,1.731807031594905411e+01,1.729404875185577595e+01,0
1.743767145278895114e+01,1.720351937504026907e+01,1.755727258962893700e+01,1.711298999822487588e+01,1.731807031594896529e+01,1.729404875185566226e+01,0
1.731023516239126891e+01,1.703515938248985151e+01,1.742983629923125477e+01,1.694463000567445832e+01,1.719063402555128306e+01,1.712568875930524470e+01,0
1.731023516239126891e+01,1.703515938248985151e+01,1.742983629923113043e+01,1.694463000567429489e+01,1.719063402555140740e+01,1.712568875930540813e+01,0
1.730921567206808476e+01,1.703381250254944845e+01,1.742881680890794627e+01,1.694328312573389184e+01,1.718961453522822325e+01,1.712434187936500507e+01,0
1.730921567206808476e+01,1.703381250254944845e+01,1.718732091248749683e+01,1.712122913475860386e+01,1.743111043164867269e+01,1.694639587034029304e+01,1
1.750376490380802608e+01,1.730509419380459590e+01,1.738187014422743815e+01,1.739251082601375131e+01,1.762565966338861401e+01,1.721767756159544049e+01,1
1.750376490380802608e+01,1.730509419380459590e+01,1.763029682036768975e+01,1.722453568033929727e+01,1.737723298724836241e+01,1.738565270726989453e+01,0
1.750284632993395562e+01,1.730365140510619426e+01,1.762937824649361929e+01,1.722309289164089563e+01,1.737631441337429195e+01,1.738420991857149289e+01,0
1.750284632993395562e+01,1.730365140510619426e+01,1.762937824649348784e+01,1.722309289164069313e+01,1.737631441337442340e+01,1.738420991857169540e+01,0
1.745416191460816080e+01,1.722718360409108129e+01,1.758069383116769302e+01,1.714662509062558016e+01,1.732762999804862858e+01,1.730774211755658243e+01,0
1.745416191460816080e+01,1.722718360409108129e+01,1.758069383116764328e+01,1.714662509062550200e+01,1.732762999804867832e+01,1.730774211755666059e+01,0
1.745324334073409034e+01,1.722574081539268676e+01,1.757977525729357282e+01,1.714518230192710746e+01,1.732671142417460786e+01,1.730629932885826605e+01,0
1.745324334073409034e+01,1.722574081539268676e+01,1.732962449046818065e+01,1.731070186446185843e+01,1.757686219100000002e+01,1.714077976632351508e+01,1
1.750647606237844656e+01,1.730319475361845960e+01,1.738285721211253687e+01,1.738815580268763128e+01,1.763009491264435624e+01,1.721823370454928792e+01,1
1.750647606237844656e+01,1.730319475361845960e+01,1.762189453992122168e+01,1.720738987356682514e+01,1.739105758483567143e+01,1.739899963367009406e+01,0
1.750538067381500085e+01,1.730187511227824260e+01,1.762079915135777597e+01,1.720607023222660814e+01,1.738996219627222573e+01,1.739767999232987705e+01,0
1.750538067381500085e+01,1.730187511227824260e+01,1.762079915135766939e+01,1.720607023222648024e+01,1.738996219627233231e+01,1.739767999233000495e+01,0
1.744732507995231430e+01,1.723193412124681956e+01,1.756274355749498284e+01,1.713612924119505720e+01,1.733190660240964576e+01,1.732773900129858191e+01,0
1.744732507995231430e+01,1.723193412124681956e+01,1.756274355749496152e+01,1.713612924119503234e+01,1.733190660240966707e+01,1.732773900129860678e+01,0
1.744622969138886859e+01,1.723061447990660611e+01,1.756164816893151581e+01,1.713480959985481888e+01,1.733081121384622136e+01,1.732641935995839333e+01,0
1.744622969138886859e+01,1.723061447990660611e+01,1.732509138541539784e+01,1.731907639728283144e+01,1.756736799736233934e+01,1.714215256253038078e+01,1
1.778225150932747312e+01,1.769075727358008976e+01,1.766111320335400237e+01,1.777921919095631509e+01,1.790338981530094387e+01,1.760229535620386443e+01,1
1.778225150932747312e+01,1.769075727358008976e+01,1.790465726068143937e+01,1.760405760786290585e+01,1.765984575797350686e+01,1.777745693929727366e+01,0
1.778127676690920467e+01,1.768938109666985881e+01,1.790368251826317092e+01,1.760268143095267490e+01,1.765887101555523842e+01,1.777608076238704271e+01,0
1.778127676690920467e+01,1.768938109666985881e+01,1.790368251826325263e+01,1.760268143095279569e+01,1.765887101555515670e+01,1.777608076238692192e+01,0
1.752297002606817600e+01,1.732469421545805943e+01,1.764537577742222396e+01,1.723799454974099632e+01,1.740056427471412803e+01,1.741139388117512254e+01,0
1.752297002606817600e+01,1.732469421545805943e+01,1.764537577742224528e+01,1.723799454974102474e+01,1.740056427471410672e+01,1.741139388117509412e+01,0
1.752199528364990755e+01,1.732331803854782493e+01,1.764440103500397683e+01,1.723661837283079024e+01,1.739958953229583827e+01,1.741001770426485962e+01,0
1.752199528364990755e+01,1.732331803854782493e+01,1.740048495971737452e+01,1.741126825843277715e+01,1.764350560758244058e+01,1.723536781866287271e+01,1
1.778599632815562614e+01,1.768805677914880548e+01,1.766448600422309312e+01,1.777600699903375769e+01,1.790750665208815917e+01,1.760010655926385326e+01,1
1.778599632815562614e+01,1.768805677914880548e+01,1.790558637330512681e+01,1.759751275062598808e+01,1.766640628300612548e+01,1.777860080767162287e+01,0
1.778497817134045178e+01,1.768671200333661275e+01,1.790456821648995245e+01,1.759616797481379535e+01,1.766538812619095111e+01,1.777725603185943015e+01,0
1.778497817134045178e+01,1.768671200333661275e+01,1.790456821648992047e+01,1.759616797481375272e+01,1.766538812619098309e+01,1.777725603185947278e+01,0
1.751516661531858787e+01,1.733034641310493029e+01,1.763475666046805657e+01,1.723980238458207026e+01,1.739557657016911918e+01,1.742089044162779032e+01,0
1.751516661531858787e+01,1.733034641310493029e+01,1.763475666046793577e+01,1.723980238458191394e+01,1.739557657016923997e+01,1.742089044162794664e+01,0
1.751414845850340996e+01,1.732900163729273757e+01,1.763373850365275786e+01,1.723845760876972122e+01,1.739455841335406205e+01,1.741954566581575392e+01,0
1.751414845850340996e+01,1.732900163729273757e+01,1.739399375242213353e+01,1.741879499231704997e+01,1.763430316458468639e+01,1.723920828226842517e+01,1
1.785414788124952423e+01,1.778396326220142498e+01,1.773399317516824780e+01,1.787375661722573739e+01,1.797430258733080066e+01,1.769416990717711258e+01,1
